N,window_size,W_median,MAE_median,RMSE_median,R2_train_median,R2_test_median,R2_gap_median
5,3,0.0,0.03890000000000349,0.03890000000000349,,,
10,8,0.0,0.03775000000000395,0.04027164014539549,,,
15,10,0.010888999999999704,0.03634366666666514,0.04240454903662993,0.8046516007358847,,
20,10,0.024889499999999565,0.035797625000000055,0.04031055951824999,0.8227108295329655,-2.2038680662597585,2.9896664644829665
30,10,0.0293144999999968,0.03425100000000003,0.03928220701031745,0.8257759876950167,-0.5621341318368914,1.370382157308781
50,10,0.040880999999994394,0.034290799999998886,0.04143150024800008,0.8346630072659035,-0.34029712122967926,1.149220090162361
100,10,0.03724650000000196,0.03606132499999994,0.044768112260356055,0.8467450910810482,-0.15252804862280167,0.979791910001791
200,10,0.03421099999999999,0.03589802499999981,0.043312781868923886,0.8523500609025273,-0.10188884904985418,0.9609034972453367
300,10,0.03676549999999601,0.03446216000000022,0.042095791283868034,0.8494154622173866,-0.0670774466137184,0.916492908831105
