N,W_median,W_iqr25,W_iqr75,MAE_median,RMSE_median,R2_test_median,R2_train_median
5,0.0,0.0,0.0,0.0,0.0,,1.0
10,0.0,0.0,0.0,0.0,0.0,,1.0
20,0.0,0.0,0.0,0.0,0.0,,1.0
30,0.0,0.0,0.0,0.0,0.0,-0.48514851485148514,0.7997311150888075
50,0.0,0.0,0.0,236.17500000004657,236.17500000004657,-1.4124622615082947,0.9219107380890381
100,0.0,0.0,0.0,2412.0,4403.689362341535,-0.9941520467836257,0.9795888212184165
200,0.0,0.0,0.0,5628.0,7191.194615639323,-1.9882949635309588,0.9952198696410741
