N,window,W(N),R2_train,R2_test,R2_gap,Regime
5,3,0.000000,N/A (degenerate),N/A,N/A,degenerate
10,8,0.000000,N/A (degenerate),N/A,N/A,degenerate
15,10,0.010889,0.8047,N/A,N/A,high-overfit
20,10,0.024889,0.8227,-2.2039,2.9897,high-overfit
30,10,0.029314,0.8258,-0.5621,1.3704,transition
50,10,0.040881,0.8347,-0.3403,1.1492,transition
100,10,0.037247,0.8467,-0.1525,0.9798,stable
200,10,0.034211,0.8524,-0.1019,0.9609,stable
300,10,0.036765,0.8494,-0.0671,0.9165,stable
