Model,Params,Rate,N,CI,Ctrl FP,Scout Hit,Ind Hit
llama3.1:8b,8B,29%,38/130,"[0.22,0.38]",0,4,9
llama3.1:70b,70B,15%,19/130,"[0.10,0.22]",0,2,6
qwen2.5:72b,72B,22%,29/130,"[0.16,0.30]",0,4,7
